horizon,split,corridor,baseline,experiment,signal_count,signals_per_week,delta_lift,delta_lift_ci_low,delta_lift_ci_high,delta_bps,delta_bps_ci_low,delta_bps_ci_high,decision
1,y2022,RUB->AMD,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
1,y2022,RUB->KGS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
1,y2022,RUB->KZT,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
1,y2022,RUB->TJS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
1,y2022,RUB->UZS,cbr_full_logreg,incumbent_ab,0,0.0,,,,,,,unusable
1,wf_oos,RUB->AMD,cbr_full_logreg,incumbent_ab,39,0.2834890965732087,0.08189874337183112,-0.27407471318085824,0.43516425069412246,1.8807685768940035,-30.413388546566253,32.42013842869816,insufficient_frequency
1,wf_oos,RUB->KGS,cbr_full_logreg,incumbent_ab,35,0.2544132917964693,0.13464696223316897,-0.30550416476939607,0.5746360462922555,9.292756819356589,-17.707382491215668,41.43176225046972,insufficient_frequency
1,wf_oos,RUB->KZT,cbr_full_logreg,incumbent_ab,29,0.2107995846313603,0.01660511085798433,-0.382101813463998,0.3673571812224728,10.2291517531443,-26.46172601370117,46.12174269315084,insufficient_frequency
1,wf_oos,RUB->TJS,cbr_full_logreg,incumbent_ab,35,0.2544132917964693,0.30269915105539413,-0.019270430479656566,0.5838630189534647,33.845854997520945,-5.640882784685813,69.39643296174572,insufficient_frequency
1,wf_oos,RUB->UZS,cbr_full_logreg,incumbent_ab,35,0.2544132917964693,0.28086097113168496,-0.14588082239867825,0.6108527340835624,1.3482155222256509,-40.45079988676211,39.91997946374036,insufficient_frequency
1,oot,RUB->AMD,cbr_full_logreg,incumbent_ab,12,0.23076923076923078,-0.31186868686868685,-0.8853842732265801,0.12074551638837339,-49.32394519242223,-131.96787396300132,2.933298642253314,insufficient_frequency
1,oot,RUB->KGS,cbr_full_logreg,incumbent_ab,7,0.1346153846153846,0.1507936507936507,-0.5906897759103641,1.3420726108087522,-1.0224747836993942,-54.13737117751953,71.01804489536774,insufficient_frequency
1,oot,RUB->KZT,cbr_full_logreg,incumbent_ab,5,0.09615384615384616,-1.043661971830986,-1.8446800090456805,0.0,-31.973617590257767,-133.70098906406034,41.562590664334316,insufficient_frequency
1,oot,RUB->TJS,cbr_full_logreg,incumbent_ab,11,0.21153846153846154,-0.09979797979797977,-1.1232470538720538,0.3511634415375626,-30.233196668697428,-171.50035869568384,72.63007827459549,insufficient_frequency
1,oot,RUB->UZS,cbr_full_logreg,incumbent_ab,8,0.15384615384615385,0.04540441176470611,-0.9047819216182049,0.6344232417392895,-3.663980760764744,-96.44010674590011,53.699779535298255,insufficient_frequency
1,y2022,RUB->AMD,cbr_full_logreg,cbr_context_logreg,18,0.3559322033898305,-0.11066308243727607,-0.7881967134343074,0.5498541625577981,-202.94184083848268,-460.6243584796845,-23.276188992850194,insufficient_frequency
1,y2022,RUB->KGS,cbr_full_logreg,cbr_context_logreg,18,0.3559322033898305,-0.22312556458897914,-1.2324648093841641,1.3406634966083804,-81.66978274459578,-249.4134037138169,38.868750422220955,insufficient_frequency
1,y2022,RUB->KZT,cbr_full_logreg,cbr_context_logreg,14,0.2768361581920904,0.9125615763546797,0.4460702165580214,1.3368333688018723,169.7730831043358,81.99472194735156,249.61565996840497,insufficient_frequency
1,y2022,RUB->TJS,cbr_full_logreg,cbr_context_logreg,13,0.2570621468926554,-0.7251908396946565,-1.3139733530848745,-0.28903118962743773,-32.52463305196575,-88.38803039442087,10.908705626507468,insufficient_frequency
1,y2022,RUB->UZS,cbr_full_logreg,cbr_context_logreg,18,0.3559322033898305,0.9225023342670401,0.5466346153846154,1.3362959889838286,23.889530803275306,-75.91684235119175,117.07597192119319,insufficient_frequency
1,wf_oos,RUB->AMD,cbr_full_logreg,cbr_context_logreg,4,0.029075804776739354,0.9872521246458925,0.6453701221572024,1.2795851872717128,19.254683151629088,-10.54409117114346,38.767611910876255,insufficient_frequency
1,wf_oos,RUB->KGS,cbr_full_logreg,cbr_context_logreg,0,0.0,,,,,,,unusable
1,wf_oos,RUB->KZT,cbr_full_logreg,cbr_context_logreg,0,0.0,,,,,,,unusable
1,wf_oos,RUB->TJS,cbr_full_logreg,cbr_context_logreg,2,0.014537902388369677,0.9257304134218366,0.6331129662693626,1.2100383476530263,57.063537862291874,33.09489677022482,72.65236138329396,insufficient_frequency
1,wf_oos,RUB->UZS,cbr_full_logreg,cbr_context_logreg,0,0.0,,,,,,,unusable
1,oot,RUB->AMD,cbr_full_logreg,cbr_context_logreg,12,0.23076923076923078,0.0,-0.45822420634920635,0.3186546069879398,-13.660942674795137,-66.62316900177272,32.15236011933282,insufficient_frequency
1,oot,RUB->KGS,cbr_full_logreg,cbr_context_logreg,8,0.15384615384615385,0.0,-0.22724684092089312,0.6365236888674385,1.9267361929009752,-13.777508366371851,40.48835271456035,insufficient_frequency
1,oot,RUB->KZT,cbr_full_logreg,cbr_context_logreg,8,0.15384615384615385,-0.21742957746478875,-0.5841944862824352,0.0,-31.979284952957826,-63.69767961945548,0.0,insufficient_frequency
