method,lift_h1,lar_h1,lift_h5,lar_h5,lift_h10,lar_h10,signals_per_week,cluster_rate,corridors_with_lar_h1,corridors_with_lar_h5,corridors_with_lar_h10
"CatBoost (A,B,C,D)",1.3060775292276534,1.2968045092769758,1.3755025205437488,1.921769121510709,1.3253104882086624,2.055445991693266,0.3153846153846154,0.4181757561324124,5,5,5
Правило: недавние изменения плохие,1.1618252258649941,1.0327452085454631,1.2895644218913995,0.9954427764160603,1.377645233871649,1.002122228664751,0.29615384615384616,0.0,5,5,5
"CatBoost (A,B)",1.1611374493935593,0.7683145998669667,1.2494058163470192,0.9604691016764384,1.0801867440735367,0.7061296238138552,0.3961538461538462,0.5430769230769231,5,5,5
"CatBoost (A,B,C)",1.0894615375197336,0.999865295838848,1.2293022966156806,1.127062722727828,1.1378841799640718,0.9617040896231351,0.4807692307692307,0.5343396571057452,5,5,5
Правило: seasonality,1.035005737922232,1.0167999795613807,1.0829059991514882,0.9824628198557376,1.0090542835861824,0.9218534159178875,0.8769230769230768,0.8190016553494814,5,5,5
LogReg (A),1.1330815685765112,1.3471478295340027,1.034098263438714,1.07228469698926,0.6000253998057202,0.5413077642710001,0.37307692307692303,0.27318077803203666,5,5,5
"Правило: хуже, чем год назад",1.2955080362946148,1.2628005515575242,0.9958532609838517,0.5305968218147514,1.035014245014245,0.6304000203208286,0.08461538461538462,0.0,5,5,5
Случайный день,0.9686050685863205,0.9686901233168509,0.9801428364002381,0.9863742535872347,1.0255033455701221,1.0521521998489995,1.5115384615384615,0.4826006647404647,5,5,5
"LogReg (A,B,C)",1.2093129214631495,1.4492816158660176,0.9369845832055516,0.5712070914386048,0.5977175350399305,0.46674545158715935,0.25384615384615383,0.361231884057971,5,5,5
Правило: level,0.9539917668844298,1.229572039539876,0.9331960200151886,1.519547122925484,0.9471554796652649,1.873913647502318,0.926923076923077,0.7957692826915063,5,5,5
Правило: крупное последнее улучшение,0.7093812019146,0.8115800155661475,0.931766054483395,1.616061099855316,1.0042636890955186,1.5380936321946592,0.4153846153846154,0.07424823684414478,5,5,5
Правило: недавние изменения хорошие,0.8932761601097973,2.2150811214297037,0.8841306772911353,1.5716364005595873,0.8614006522245518,2.0737131444189014,0.23461538461538461,0.07633699633699634,5,5,5
Правило: диапазон удержался,0.8366659028841298,1.7596737171462007,0.790194967143721,1.700355846350437,0.8054139728196332,2.8023361885170686,0.2192307692307692,0.0641025641025641,5,5,5
Правило: momentum,0.7878630260533404,1.4459568614607927,0.788501638290103,1.8789023358817964,0.6417416993674856,2.6769205314551665,0.7269230769230768,0.558639824493483,5,5,5
Правило: лучше 30-дневного среднего,0.6731810238256635,0.8569360528051982,0.7727325742649023,1.8190882912801842,0.653019136698382,0.9066681116631653,0.1923076923076923,0.05333333333333333,5,5,5
Правило: reversal,1.0480572234356826,1.3475245064366657,0.6398719448298587,0.8791052069705391,0.32014245014245013,0.5826637429844366,0.19615384615384618,0.02222222222222222,5,5,5
"Правило: лучше, чем год назад",0.5238761416986769,0.7107047581570333,0.45437671232876714,5.247759948978788,0.44074074074074077,0.41766992543411435,0.06538461538461537,0.04,5,4,2
"LogReg (A,B)",,,,,,,0.0,,0,0,0
"LogReg (A,B,C,D)",,,,,,,0.0,,0,0,0
CatBoost (A),,,,,,,0.0,,0,0,0
