experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,method,feature_groups,corridor
catboost_a,TJS,wf_2025,5.0,1,0.5555555555555556,0.5217391304347826,161,84,2.4705882352941178,27,27,0,27,0,0.5588235294117647,0.088235294117647,34,2025-01-10,2025-08-30,True,102.37597031977018,0.5557407407407408,-1.17276617997072,180.84785570140983,5.829054374901982,catboost,A,RUB->TJS
catboost_a,UZS,oot,5.0,1,,0.5506072874493927,247,136,2.5660377358490565,0,0,0,0,0,1.0,0.0,53,2025-09-02,2026-09-02,True,,,,,,catboost,A,RUB->UZS
catboost_a,UZS,wf_2022,5.0,1,,0.4817813765182186,247,119,2.3333333333333335,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,,catboost,A,RUB->UZS
catboost_a,UZS,wf_2023,5.0,1,0.2857142857142857,0.562753036437247,247,139,2.7254901960784315,7,7,0,7,0,0.8627450980392157,0.0,51,2023-01-10,2023-12-30,True,37.38671923745862,0.4242857142857142,-2.842930906051871,125.17287960189871,15.715702981582268,catboost,A,RUB->UZS
catboost_a,UZS,wf_2024,5.0,1,0.4444444444444444,0.5403225806451613,248,134,2.627450980392157,63,63,0,63,0,0.6078431372549019,0.2549019607843137,51,2024-01-10,2024-12-29,True,232.9404979665548,0.4542857142857143,-14.23726054296851,257.1603019070356,-20.88740420479109,catboost,A,RUB->UZS
catboost_a,UZS,wf_2025,5.0,1,0.3636363636363636,0.4472049689440994,161,72,2.1176470588235294,22,22,0,22,0,0.5294117647058824,0.0294117647058823,34,2025-01-10,2025-08-30,True,97.71196823756644,0.4234090909090909,-14.022909503042174,170.98973254170988,-7.209766967648019,catboost,A,RUB->UZS
catboost_ab,AMD,oot,5.0,1,0.6923076923076923,0.5344129554655871,247,132,2.490566037735849,13,13,0,13,0,0.8679245283018868,0.0377358490566037,53,2025-09-02,2026-09-02,True,30.33355968312535,0.7211538461538461,31.91809402068404,78.74872131835711,28.82137898301257,catboost,"A,B",RUB->AMD
catboost_ab,AMD,wf_2022,5.0,1,0.4375,0.5020242914979757,247,124,2.4313725490196076,32,32,0,32,0,0.7254901960784313,0.0980392156862745,51,2022-01-11,2022-12-31,True,306.46140134165955,0.43015625,3.851552447459044,510.6054142686248,9.200829594315785,catboost,"A,B",RUB->AMD
catboost_ab,AMD,wf_2023,5.0,1,0.4845360824742268,0.5708502024291497,247,141,2.764705882352941,97,97,0,97,0,0.4705882352941176,0.392156862745098,51,2023-01-10,2023-12-30,True,230.48968929050503,0.4618041237113403,-6.974347332418117,248.2144811589751,-2.1797970772830855,catboost,"A,B",RUB->AMD
catboost_ab,AMD,wf_2024,5.0,1,0.575,0.5604838709677419,248,139,2.7254901960784315,40,40,0,40,0,0.7254901960784313,0.1372549019607843,51,2024-01-10,2024-12-29,True,199.83426357197453,0.553125,-4.897566818532309,252.243526086091,-12.03075950266097,catboost,"A,B",RUB->AMD
