horizon,corridor,method,split,feature_groups,metric,old,reconstructed,match
5,RUB->AMD,level,oot,,signal_hit_rate,0.2857142857142857,0.2857142857142857,True
5,RUB->AMD,level,oot,,random_hit_rate,0.3045267489711934,0.3045267489711934,True
5,RUB->AMD,level,oot,,freq_matched_hit_rate,0.2980952380952381,0.2980952380952381,True
5,RUB->AMD,level,oot,,lift,0.938223938223938,0.938223938223938,True
5,RUB->AMD,level,oot,,lift_freq_matched,0.9584664536741214,0.9584664536741214,True
5,RUB->AMD,level,oot,,bps_forward,30.579672602794385,30.579672602794385,True
5,RUB->AMD,level,oot,,signals_per_week,0.8212290502793296,0.8212290502793296,True
5,RUB->AMD,level,oot,,cluster_share,0.8095238095238095,0.8095238095238095,True
5,RUB->AMD,level,wf_oos,,eligible_days,656.0,656.0,True
5,RUB->AMD,level,wf_oos,,signal_count,141.0,141.0,True
5,RUB->AMD,level,wf_oos,,target_positives,215.0,215.0,True
5,RUB->AMD,level,wf_oos,,signal_hit_rate,0.226950354609929,0.226950354609929,True
5,RUB->AMD,level,wf_oos,,random_hit_rate,0.3277439024390244,0.3277439024390244,True
5,RUB->AMD,level,wf_oos,,freq_matched_hit_rate,0.3307801418439715,0.3307801418439715,True
5,RUB->AMD,level,wf_oos,,lift,0.6924624773214579,0.6924624773214579,True
5,RUB->AMD,level,wf_oos,,lift_freq_matched,0.6861063464837052,0.6861063464837052,True
5,RUB->AMD,level,wf_oos,,bps_forward,-14.741103842109393,-14.741103842109393,True
5,RUB->AMD,level,wf_oos,,signals_per_week,1.0249221183800623,1.0249221183800623,True
5,RUB->AMD,level,wf_oos,,cluster_share,0.8936170212765957,0.8936170212765957,True
5,RUB->AMD,level,y2022,,eligible_days,247.0,247.0,True
5,RUB->AMD,level,y2022,,signal_count,32.0,32.0,True
5,RUB->AMD,level,y2022,,target_positives,72.0,72.0,True
5,RUB->AMD,level,y2022,,signal_hit_rate,0.15625,0.15625,True
5,RUB->AMD,level,y2022,,random_hit_rate,0.291497975708502,0.291497975708502,True
5,RUB->AMD,level,y2022,,freq_matched_hit_rate,0.286875,0.286875,True
5,RUB->AMD,level,y2022,,lift,0.5360243055555556,0.5360243055555556,True
5,RUB->AMD,level,y2022,,lift_freq_matched,0.5446623093681917,0.5446623093681917,True
5,RUB->AMD,level,y2022,,bps_forward,35.77983076622803,35.77983076622803,True
5,RUB->AMD,level,y2022,,signals_per_week,0.632768361581921,0.632768361581921,True
5,RUB->AMD,level,y2022,,cluster_share,0.90625,0.90625,True
5,RUB->AMD,logreg,oot,A,eligible_days,243.0,243.0,True
5,RUB->AMD,logreg,oot,A,signal_count,38.0,38.0,True
5,RUB->AMD,logreg,oot,A,target_positives,74.0,74.0,True
5,RUB->AMD,logreg,oot,A,signal_hit_rate,0.2105263157894736,0.2105263157894736,True
5,RUB->AMD,logreg,oot,A,random_hit_rate,0.3045267489711934,0.3045267489711934,True
5,RUB->AMD,logreg,oot,A,freq_matched_hit_rate,0.3105263157894736,0.3105263157894736,True
5,RUB->AMD,logreg,oot,A,lift,0.6913229018492176,0.6913229018492176,True
5,RUB->AMD,logreg,oot,A,lift_freq_matched,0.6779661016949153,0.6779661016949153,True
5,RUB->AMD,logreg,oot,A,bps_forward,-8.647170205113543,-8.647170205113543,True
5,RUB->AMD,logreg,oot,A,signals_per_week,0.7430167597765363,0.7430167597765363,True
5,RUB->AMD,logreg,oot,A,cluster_share,0.5263157894736842,0.5263157894736842,True
5,RUB->AMD,logreg,oot,"A,B",eligible_days,243.0,243.0,True
5,RUB->AMD,logreg,oot,"A,B",signal_count,0.0,0.0,True
5,RUB->AMD,logreg,oot,"A,B",target_positives,74.0,74.0,True
5,RUB->AMD,logreg,oot,"A,B",signal_hit_rate,,,True
5,RUB->AMD,logreg,oot,"A,B",random_hit_rate,0.3045267489711934,0.3045267489711934,True
5,RUB->AMD,logreg,oot,"A,B",freq_matched_hit_rate,,,True
5,RUB->AMD,logreg,oot,"A,B",lift,,,True
5,RUB->AMD,logreg,oot,"A,B",lift_freq_matched,,,True
5,RUB->AMD,logreg,oot,"A,B",bps_forward,,,True
5,RUB->AMD,logreg,oot,"A,B",signals_per_week,0.0,0.0,True
5,RUB->AMD,logreg,oot,"A,B",cluster_share,,,True
5,RUB->AMD,logreg,oot,"A,B,C",eligible_days,243.0,243.0,True
5,RUB->AMD,logreg,oot,"A,B,C",signal_count,20.0,20.0,True
5,RUB->AMD,logreg,oot,"A,B,C",target_positives,74.0,74.0,True
5,RUB->AMD,logreg,oot,"A,B,C",signal_hit_rate,0.3,0.3,True
5,RUB->AMD,logreg,oot,"A,B,C",random_hit_rate,0.3045267489711934,0.3045267489711934,True
5,RUB->AMD,logreg,oot,"A,B,C",freq_matched_hit_rate,0.3069999999999999,0.3069999999999999,True
5,RUB->AMD,logreg,oot,"A,B,C",lift,0.9851351351351352,0.9851351351351352,True
5,RUB->AMD,logreg,oot,"A,B,C",lift_freq_matched,0.977198697068404,0.977198697068404,True
5,RUB->AMD,logreg,oot,"A,B,C",bps_forward,23.681293427474355,23.681293427474355,True
5,RUB->AMD,logreg,oot,"A,B,C",signals_per_week,0.3910614525139664,0.3910614525139664,True
5,RUB->AMD,logreg,oot,"A,B,C",cluster_share,0.3,0.3,True
5,RUB->AMD,logreg,oot,"A,B,C,D",eligible_days,243.0,243.0,True
5,RUB->AMD,logreg,oot,"A,B,C,D",signal_count,0.0,0.0,True
5,RUB->AMD,logreg,oot,"A,B,C,D",target_positives,74.0,74.0,True
5,RUB->AMD,logreg,oot,"A,B,C,D",signal_hit_rate,,,True
5,RUB->AMD,logreg,oot,"A,B,C,D",random_hit_rate,0.3045267489711934,0.3045267489711934,True
5,RUB->AMD,logreg,oot,"A,B,C,D",freq_matched_hit_rate,,,True
5,RUB->AMD,logreg,oot,"A,B,C,D",lift,,,True
5,RUB->AMD,logreg,oot,"A,B,C,D",lift_freq_matched,,,True
5,RUB->AMD,logreg,oot,"A,B,C,D",bps_forward,,,True
5,RUB->AMD,logreg,oot,"A,B,C,D",signals_per_week,0.0,0.0,True
5,RUB->AMD,logreg,oot,"A,B,C,D",cluster_share,,,True
5,RUB->AMD,logreg,wf_oos,A,eligible_days,656.0,656.0,True
5,RUB->AMD,logreg,wf_oos,A,signal_count,96.0,96.0,True
5,RUB->AMD,logreg,wf_oos,A,target_positives,215.0,215.0,True
5,RUB->AMD,logreg,wf_oos,A,signal_hit_rate,0.2395833333333333,0.2395833333333333,True
5,RUB->AMD,logreg,wf_oos,A,random_hit_rate,0.3277439024390244,0.3277439024390244,True
5,RUB->AMD,logreg,wf_oos,A,freq_matched_hit_rate,0.3314583333333333,0.3314583333333333,True
5,RUB->AMD,logreg,wf_oos,A,lift,0.7310077519379845,0.7310077519379845,True
5,RUB->AMD,logreg,wf_oos,A,lift_freq_matched,0.7228158390949089,0.7228158390949089,True
5,RUB->AMD,logreg,wf_oos,A,bps_forward,10.26945932143099,10.26945932143099,True
5,RUB->AMD,logreg,wf_oos,A,signals_per_week,0.6978193146417445,0.6978193146417445,True
5,RUB->AMD,logreg,wf_oos,A,cluster_share,0.59375,0.59375,True
5,RUB->AMD,logreg,wf_oos,"A,B",eligible_days,656.0,656.0,True
5,RUB->AMD,logreg,wf_oos,"A,B",signal_count,40.0,40.0,True
5,RUB->AMD,logreg,wf_oos,"A,B",target_positives,215.0,215.0,True
5,RUB->AMD,logreg,wf_oos,"A,B",signal_hit_rate,0.275,0.275,True
5,RUB->AMD,logreg,wf_oos,"A,B",random_hit_rate,0.3277439024390244,0.3277439024390244,True
5,RUB->AMD,logreg,wf_oos,"A,B",freq_matched_hit_rate,0.324,0.324,True
5,RUB->AMD,logreg,wf_oos,"A,B",lift,0.8390697674418605,0.8390697674418605,True
5,RUB->AMD,logreg,wf_oos,"A,B",lift_freq_matched,0.8487654320987654,0.8487654320987654,True
5,RUB->AMD,logreg,wf_oos,"A,B",bps_forward,23.98818753800221,23.98818753800221,True
5,RUB->AMD,logreg,wf_oos,"A,B",signals_per_week,0.2907580477673935,0.2907580477673935,True
5,RUB->AMD,logreg,wf_oos,"A,B",cluster_share,0.6,0.6,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",eligible_days,656.0,656.0,True
5,RUB->AMD,logreg,wf_oos,"A,B,C",signal_count,0.0,0.0,True
