horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,feature_groups
5,RUB->AMD,catboost,y2022,247,2,72,0.0,0.291497975708502,0.31,0.0,0.0,-559.6177738214178,0.03954802259887006,0.0,A
5,RUB->KGS,catboost,y2022,247,0,65,,0.2631578947368421,,,,,0.0,,A
5,RUB->KZT,catboost,y2022,247,0,64,,0.2591093117408907,,,,,0.0,,A
5,RUB->TJS,catboost,y2022,247,0,77,,0.3117408906882591,,,,,0.0,,A
5,RUB->UZS,catboost,y2022,247,0,65,,0.2631578947368421,,,,,0.0,,A
5,RUB->AMD,catboost,wf_oos,656,91,215,0.24175824175824176,0.3277439024390244,0.3261538461538461,0.7376437515972399,0.7412398921832885,-0.5755740085617723,0.6614745586708203,0.6263736263736264,A
5,RUB->KGS,catboost,wf_oos,656,103,215,0.2524271844660194,0.3277439024390244,0.32271844660194177,0.7701964326032964,0.7821901323706377,-12.265828432408705,0.7487019730010384,0.5825242718446602,A
5,RUB->KZT,catboost,wf_oos,656,100,183,0.2,0.27896341463414637,0.29259999999999997,0.7169398907103824,0.6835269993164731,-7.289644202228976,0.7268951194184838,0.6,A
5,RUB->TJS,catboost,wf_oos,656,99,230,0.3333333333333333,0.35060975609756095,0.3593939393939394,0.9507246376811594,0.9274873524451939,3.8254587303479335,0.719626168224299,0.6363636363636364,A
5,RUB->UZS,catboost,wf_oos,656,92,204,0.25,0.31097560975609756,0.31130434782608696,0.803921568627451,0.803072625698324,-24.858531137697206,0.6687435098650051,0.5978260869565217,A
5,RUB->AMD,catboost,oot,243,36,74,0.2222222222222222,0.3045267489711934,0.3038888888888889,0.7297297297297297,0.7312614259597806,-7.186449103487945,0.7039106145251396,0.5,A
5,RUB->KGS,catboost,oot,243,29,70,0.3103448275862069,0.2880658436213992,0.2806896551724138,1.0773399014778324,1.1056511056511058,31.757477821686656,0.5670391061452513,0.4482758620689655,A
5,RUB->KZT,catboost,oot,243,53,80,0.32075471698113206,0.3292181069958848,0.3430188679245283,0.9742924528301886,0.935093509350935,31.759829344321318,1.036312849162011,0.7169811320754716,A
5,RUB->TJS,catboost,oot,243,46,73,0.5,0.3004115226337449,0.3030434782608696,1.6643835616438356,1.6499282639885222,78.47507740268932,0.8994413407821229,0.6086956521739131,A
5,RUB->UZS,catboost,oot,243,35,83,0.3142857142857143,0.34156378600823045,0.3474285714285713,0.9201376936316695,0.904605263157895,5.667599931531907,0.6843575418994413,0.5142857142857142,A
5,RUB->AMD,catboost,y2022,247,6,72,0.16666666666666666,0.291497975708502,0.2833333333333333,0.5717592592592593,0.5882352941176471,-70.59147804586158,0.11864406779661017,0.3333333333333333,"A,B,C"
5,RUB->KGS,catboost,y2022,247,13,65,0.15384615384615385,0.2631578947368421,0.2538461538461539,0.5846153846153846,0.606060606060606,-69.50390138613935,0.2570621468926554,0.5384615384615384,"A,B,C"
5,RUB->KZT,catboost,y2022,247,8,64,0.375,0.2591093117408907,0.305,1.447265625,1.2295081967213115,-83.41962633995394,0.15819209039548024,0.5,"A,B,C"
5,RUB->TJS,catboost,y2022,247,10,77,0.1,0.3117408906882591,0.332,0.3207792207792208,0.30120481927710846,-391.2726098208676,0.1977401129943503,0.4,"A,B,C"
5,RUB->UZS,catboost,y2022,247,9,65,0.2222222222222222,0.2631578947368421,0.29333333333333333,0.8444444444444444,0.7575757575757576,-330.0941319038272,0.17796610169491525,0.4444444444444444,"A,B,C"
5,RUB->AMD,catboost,wf_oos,656,17,215,0.17647058823529413,0.3277439024390244,0.3058823529411765,0.5384404924760602,0.5769230769230769,-28.96523059536541,0.12357217030114226,0.47058823529411764,"A,B,C"
5,RUB->KGS,catboost,wf_oos,656,33,215,0.36363636363636365,0.3277439024390244,0.3151515151515152,1.1095137420718817,1.1538461538461537,60.346833684436334,0.23987538940809966,0.5757575757575758,"A,B,C"
5,RUB->KZT,catboost,wf_oos,656,11,183,0.6363636363636364,0.27896341463414637,0.24727272727272726,2.281172379533035,2.573529411764706,137.5758625521968,0.07995846313603322,0.5454545454545454,"A,B,C"
5,RUB->TJS,catboost,wf_oos,656,18,230,0.2777777777777778,0.35060975609756095,0.3399999999999999,0.7922705314009663,0.8169934640522878,20.262189224506653,0.1308411214953271,0.4444444444444444,"A,B,C"
5,RUB->UZS,catboost,wf_oos,656,26,204,0.2692307692307692,0.31097560975609756,0.3053846153846154,0.865761689291101,0.8816120906801006,20.04611145401871,0.1889927310488058,0.6538461538461539,"A,B,C"
5,RUB->AMD,catboost,oot,243,20,74,0.4,0.3045267489711934,0.30699999999999994,1.3135135135135136,1.3029315960912056,35.489399832500126,0.39106145251396646,0.5,"A,B,C"
5,RUB->KGS,catboost,oot,243,23,70,0.43478260869565216,0.2880658436213992,0.30260869565217385,1.5093167701863353,1.4367816091954024,101.87745111526249,0.44972067039106145,0.4782608695652174,"A,B,C"
5,RUB->KZT,catboost,oot,243,19,80,0.15789473684210525,0.3292181069958848,0.32421052631578945,0.4796052631578947,0.487012987012987,9.310199847606567,0.3715083798882681,0.2631578947368421,"A,B,C"
5,RUB->TJS,catboost,oot,243,41,73,0.4146341463414634,0.3004115226337449,0.3126829268292683,1.3802205145339124,1.3260530421216847,61.09632155400315,0.8016759776536312,0.5853658536585366,"A,B,C"
5,RUB->UZS,catboost,oot,243,22,83,0.5,0.34156378600823045,0.3318181818181818,1.463855421686747,1.5068493150684932,51.770210841359976,0.4301675977653631,0.5454545454545454,"A,B,C"
