experiment,training_horizon,evaluation_horizon,currency,fold,lift,moment_advantage_bps,customer_regret_cvar_95_bps,signals_per_week,lift_at_risk,cluster_rate
catboost_ab,5.0,1,AMD,wf_oos,0.9495254440561612,5.408649829040268,253.37929680687964,0.9927536231884058,1.0403557866782,0.7956204379562044
catboost_ab,5.0,1,KGS,wf_oos,0.9067365051651388,5.640954026414758,203.08404334272333,1.144927536231884,1.0645332552605926,0.7658227848101266
catboost_ab,5.0,1,KZT,wf_oos,0.964027857644879,8.560687165915526,213.19336919887297,1.0217391304347827,1.3199393249433926,0.7801418439716312
catboost_ab,5.0,1,TJS,wf_oos,0.8864265927977839,6.094946453235235,208.38563103623196,0.8913043478260869,1.0694839935289318,0.7560975609756098
catboost_ab,5.0,1,UZS,wf_oos,0.8465356362914433,4.1144599644192255,224.0439589772292,1.0579710144927537,1.115661313188167,0.8082191780821918
catboost_abcd,5.0,1,AMD,wf_oos,0.8920113314447592,-3.152347144726771,240.01860262885475,0.5434782608695652,0.8551559092407583,0.68
catboost_abcd,5.0,1,KGS,wf_oos,0.930597992143169,-1.420519154524427,180.74803175426203,0.572463768115942,1.035287993294404,0.5949367088607594
catboost_abcd,5.0,1,KZT,wf_oos,1.0563607085346218,-7.415399161849841,188.2060796313234,0.5,1.211918392453045,0.5797101449275363
catboost_abcd,5.0,1,TJS,wf_oos,0.8931874735903095,-0.2353090136793833,163.10776298803952,0.427536231884058,1.2352287784819482,0.6101694915254238
catboost_abcd,5.0,1,UZS,wf_oos,0.8873429951690822,-2.623264854598354,176.16471788645117,0.5434782608695652,1.0169419262483408,0.6666666666666666
level,,1,AMD,wf_oos,0.8435095332810962,7.18587203001533,266.6444723368869,1.0217391304347827,1.1014303454268828,0.8865248226950354
level,,1,KGS,wf_oos,0.8657300979140059,7.210722979007842,279.3826748338692,0.9782608695652174,1.1139202359085092,0.8888888888888888
level,,1,KZT,wf_oos,0.9468916430242398,8.574569221121184,296.965138663807,1.3115942028985508,1.2600926595611672,0.8950276243093923
level,,1,TJS,wf_oos,0.833762424637445,9.2865176403269,345.6896579473003,0.6159420289855072,0.988667472191043,0.9058823529411764
level,,1,UZS,wf_oos,0.8775919732441473,6.370148066341531,297.1883850038995,1.1304347826086956,1.0620612638229754,0.8910256410256411
logreg_a,5.0,1,AMD,wf_oos,0.890462700661001,-4.617789159655356,224.5585462516564,0.6956521739130435,1.0626920863928682,0.65625
logreg_a,5.0,1,KGS,wf_oos,1.0150309460654288,-7.740410718703059,98.14563648757547,0.4710144927536231,1.4951185372958593,0.6153846153846154
logreg_a,5.0,1,KZT,wf_oos,0.9707098402750578,-8.909148618328066,136.80938191537484,0.5,1.577522106807169,0.5507246376811594
logreg_a,5.0,1,TJS,wf_oos,0.9946639451815136,-5.836382498651499,252.53959484706192,0.6884057971014492,1.1607961190806475,0.6210526315789474
logreg_a,5.0,1,UZS,wf_oos,0.9210144927536232,-9.573196033194968,175.34511949431564,0.463768115942029,1.227284496921908,0.546875
logreg_ab,5.0,1,AMD,wf_oos,1.068555240793201,-5.946502231630957,104.9729197639082,0.2898550724637681,1.5660240648687933,0.65
logreg_ab,5.0,1,KGS,wf_oos,0.913967258794845,-5.504653720414179,82.55926696819404,0.2391304347826087,1.0181837953093171,0.5757575757575758
logreg_ab,5.0,1,KZT,wf_oos,0.9849849849849852,-6.135582307424761,81.68180553726256,0.217391304347826,2.1660288425719605,0.4666666666666667
logreg_ab,5.0,1,TJS,wf_oos,1.1985619143042376,-4.7881434914940915,87.35701355916763,0.3405797101449275,1.6220452808526051,0.5957446808510638
logreg_ab,5.0,1,UZS,wf_oos,1.0563607085346216,-6.107415739930723,73.04996543258667,0.1956521739130435,1.743465679980141,0.4444444444444444
logreg_abc,5.0,1,AMD,wf_oos,,,,0.0,,
logreg_abc,5.0,1,KGS,wf_oos,,,,0.0,,
logreg_abc,5.0,1,KZT,wf_oos,,,,0.0,,
