horizon,split,corridor,baseline,experiment,signal_count,signals_per_week,delta_lift,delta_bps,decision
10,y2022,RUB->AMD,cbr_full_logreg,all_external_logreg,10,0.1977401129943503,-0.6279661016949152,-478.33328297485207,insufficient_frequency
10,y2022,RUB->KGS,cbr_full_logreg,all_external_logreg,12,0.23728813559322035,-2.4215686274509802,-871.399072835309,insufficient_frequency
10,y2022,RUB->KZT,cbr_full_logreg,all_external_logreg,11,0.21751412429378533,,,insufficient_frequency
10,y2022,RUB->TJS,cbr_full_logreg,all_external_logreg,11,0.21751412429378533,-1.4444444444444442,-1395.3620275564135,insufficient_frequency
10,y2022,RUB->UZS,cbr_full_logreg,all_external_logreg,13,0.2570621468926554,-1.2107843137254901,-549.2927268446791,insufficient_frequency
10,wf_oos,RUB->AMD,cbr_full_logreg,all_external_logreg,154,1.1194184839044652,0.4809384164222872,80.68764164132872,adopt
10,wf_oos,RUB->KGS,cbr_full_logreg,all_external_logreg,138,1.0031152647975077,0.7065970361068146,91.8442932228778,adopt
10,wf_oos,RUB->KZT,cbr_full_logreg,all_external_logreg,155,1.12668743509865,0.8208550573514078,75.27600700754968,adopt
10,wf_oos,RUB->TJS,cbr_full_logreg,all_external_logreg,137,0.9958463136033229,0.13139669198063353,48.43306017829816,adopt
10,wf_oos,RUB->UZS,cbr_full_logreg,all_external_logreg,147,1.0685358255451713,0.4405372405372405,64.03314977382341,adopt
10,oot,RUB->AMD,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
10,oot,RUB->KGS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
10,oot,RUB->KZT,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
10,oot,RUB->TJS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
10,oot,RUB->UZS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
20,y2022,RUB->AMD,cbr_full_logreg,all_external_logreg,11,0.21751412429378533,0.5346320346320347,-1259.4440192766115,insufficient_frequency
20,y2022,RUB->KGS,cbr_full_logreg,all_external_logreg,9,0.17796610169491525,,,insufficient_frequency
20,y2022,RUB->KZT,cbr_full_logreg,all_external_logreg,13,0.2570621468926554,,,insufficient_frequency
20,y2022,RUB->TJS,cbr_full_logreg,all_external_logreg,2,0.03954802259887006,0.0,-3503.270346383549,insufficient_frequency
20,y2022,RUB->UZS,cbr_full_logreg,all_external_logreg,15,0.2966101694915254,,,insufficient_frequency
20,wf_oos,RUB->AMD,cbr_full_logreg,all_external_logreg,148,1.0758047767393562,0.40374632057800375,111.74430420604651,adopt
20,wf_oos,RUB->KGS,cbr_full_logreg,all_external_logreg,137,0.9958463136033229,0.29941402204175926,98.74783263787059,adopt
20,wf_oos,RUB->KZT,cbr_full_logreg,all_external_logreg,147,1.0685358255451713,0.37099758316955844,88.38836902081668,adopt
20,wf_oos,RUB->TJS,cbr_full_logreg,all_external_logreg,127,0.9231568016614745,0.23802527076459956,90.42070738457775,adopt
20,wf_oos,RUB->UZS,cbr_full_logreg,all_external_logreg,145,1.0539979231568015,0.35903068873726407,78.66919983902935,adopt
20,oot,RUB->AMD,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
20,oot,RUB->KGS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
20,oot,RUB->KZT,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
20,oot,RUB->TJS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
20,oot,RUB->UZS,cbr_full_logreg,all_external_logreg,0,0.0,,,unusable
