horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,experiment,feature_groups
1,RUB->AMD,logreg,y2022,247,7,124,0.5714285714285714,0.5020242914979757,0.5428571428571428,1.1382488479262673,1.0526315789473684,158.26856712174273,7,-9.79840879671528,7,23.256584850842426,126.85703260659986,126.85703260659986,32.5592187911794,0.0784313725490196,7.8431372549019605,51,0.13725490196078433,0.0,1.0,0.8823529411764706,0.0,0.14285714285714285,0.13725490196078433,0.0,5.247226301689209,cbr_full_logreg,"A,B,C,E"
1,RUB->KGS,logreg,y2022,247,4,123,0.75,0.4979757085020243,0.495,1.5060975609756098,1.5151515151515151,62.68969852558732,4,21.01800744407189,4,7.689986502595891,30.759946010383565,30.759946010383565,7.689986502595891,0.05882352941176471,5.882352941176471,51,0.0784313725490196,0.0,0.0,0.9411764705882353,0.0,0.25,0.0784313725490196,0.0,2.5246242759052793,cbr_full_logreg,"A,B,C,E"
1,RUB->KZT,logreg,y2022,247,1,116,0.0,0.46963562753036436,0.52,0.0,0.0,-152.65799013785775,1,-53.58057087662682,1,155.02456397368024,155.02456397368024,155.02456397368024,155.02456397368024,0.0,0.0,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,0.0,cbr_full_logreg,"A,B,C,E"
1,RUB->TJS,logreg,y2022,247,1,131,1.0,0.5303643724696356,0.54,1.8854961832061068,1.8518518518518516,33.470571964715475,1,100.2525217349759,1,0.0,0.0,0.0,0.0,0.0196078431372549,1.9607843137254901,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,3.854495737361137,cbr_full_logreg,"A,B,C,E"
1,RUB->UZS,logreg,y2022,247,1,119,0.0,0.4817813765182186,0.54,0.0,0.0,-60.42370506333272,1,-35.20609862635027,1,60.79102697175598,60.79102697175598,60.79102697175598,60.79102697175598,0.0,0.0,51,0.0196078431372549,0.0,0.0,0.9803921568627451,0.0,0.0,0.0196078431372549,0.0,0.0,cbr_full_logreg,"A,B,C,E"
1,RUB->AMD,logreg,wf_oos,656,116,353,0.5344827586206896,0.538109756097561,0.5327586206896552,0.9932597440656442,1.0032362459546924,8.28820757859467,116,1.973376109902885,116,23.224339972646497,208.05986813319242,152.8409292186602,162.46462762704803,0.4492753623188406,44.927536231884055,138,0.8405797101449275,0.0,4.0,0.6884057971014492,0.15217391304347827,0.7241379310344828,0.8405797101449275,0.7241379310344828,1.6582558079287613,cbr_full_logreg,"A,B,C,E"
1,RUB->KGS,logreg,wf_oos,656,108,348,0.5462962962962963,0.5304878048780488,0.5325925925925926,1.029799914857386,1.0257301808066759,17.87562177312206,108,2.9377701782498553,108,17.62273747635391,233.42372218724483,139.09894367991504,150.43157782951155,0.427536231884058,42.7536231884058,138,0.782608695652174,0.0,3.0,0.6594202898550725,0.12318840579710146,0.6296296296296297,0.782608695652174,0.6481481481481481,1.6498267387235095,cbr_full_logreg,"A,B,C,E"
1,RUB->KZT,logreg,wf_oos,656,60,333,0.5166666666666667,0.5076219512195121,0.4993333333333333,1.017817817817818,1.0347129506008013,5.150182974865543,60,-0.9505125583962143,60,38.96783076711752,297.5341703474421,251.647756880109,214.03235485520878,0.2246376811594203,22.463768115942027,138,0.43478260869565216,0.0,1.0,0.8188405797101449,0.07246376811594203,0.6666666666666666,0.43478260869565216,0.6666666666666666,1.1736460647766016,cbr_full_logreg,"A,B,C,E"
1,RUB->TJS,logreg,wf_oos,656,87,361,0.5287356321839081,0.5503048780487805,0.5383908045977012,0.9608049161015061,0.982066609735269,5.840331674639961,87,-2.746496522120057,87,24.687484493272436,346.75179408548695,201.50975458125055,201.50975458125055,0.33333333333333337,33.333333333333336,138,0.6304347826086957,0.0,2.0,0.7246376811594203,0.08695652173913043,0.632183908045977,0.6304347826086957,0.6206896551724138,1.3408940907959235,cbr_full_logreg,"A,B,C,E"
1,RUB->UZS,logreg,wf_oos,656,78,345,0.5512820512820513,0.5259146341463414,0.532051282051282,1.0482348569305093,1.036144578313253,20.96719546585054,78,4.718420288355765,78,18.214415297279004,220.54069194042737,144.9749279710949,135.64638020748143,0.3115942028985507,31.159420289855074,138,0.5652173913043478,0.0,2.0,0.7536231884057971,0.07246376811594203,0.6153846153846154,0.5652173913043478,0.5897435897435898,1.8275258881187266,cbr_full_logreg,"A,B,C,E"
