horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,indicator,label,evaluation_horizon
1,RUB->AMD,signal_momentum,oot,247,36,132,0.4444444444444444,0.5344129554655871,0.5516666666666666,0.8316498316498315,0.8056394763343404,-0.9859266232202669,36,21.549467080490025,36,32.57746365553593,139.40191143707813,128.49437506535332,106.15357081479847,0.3018867924528302,30.18867924528302,53,0.6792452830188679,0.0,2.0,0.6226415094339622,0.07547169811320754,0.5277777777777778,0.6792452830188679,0.5555555555555556,1.5459361801549425,signal_momentum,Правило: momentum,1
1,RUB->KGS,signal_momentum,oot,247,49,117,0.40816326530612246,0.47368421052631576,0.4779591836734694,0.8616780045351474,0.8539709649871904,-9.960011642311123,49,19.465037516694427,49,37.56232012219516,216.0669724618347,168.79659462954555,149.13137341688375,0.37735849056603776,37.735849056603776,53,0.9245283018867925,1.0,2.0,0.49056603773584906,0.09433962264150944,0.5714285714285714,0.9245283018867925,0.5918367346938775,1.4310099940854484,signal_momentum,Правило: momentum,1
1,RUB->KZT,signal_momentum,oot,247,27,142,0.4444444444444444,0.5748987854251012,0.5718518518518517,0.7730829420970265,0.7772020725388602,3.8063559925788555,27,26.184863480110952,27,37.193541739993336,141.61046148115642,140.102020659163,122.19588169054865,0.22641509433962262,22.641509433962263,53,0.5094339622641509,0.0,2.0,0.7169811320754716,0.05660377358490566,0.5185185185185185,0.5094339622641509,0.5555555555555556,1.4269329180934833,signal_momentum,Правило: momentum,1
1,RUB->TJS,signal_momentum,oot,247,41,125,0.43902439024390244,0.5060728744939271,0.5,0.8675121951219512,0.8780487804878049,-7.796904126822755,41,19.272382476914842,41,33.64047745864036,224.8756406081176,164.4761943809366,133.4485781441206,0.339622641509434,33.9622641509434,53,0.7735849056603774,0.0,2.0,0.5660377358490566,0.09433962264150944,0.5365853658536586,0.7735849056603774,0.5609756097560976,1.4809407496221991,signal_momentum,Правило: momentum,1
1,RUB->UZS,signal_momentum,oot,247,36,136,0.3333333333333333,0.5506072874493927,0.5705555555555556,0.6053921568627451,0.5842259006815969,-6.7701800447660565,36,21.397763689393084,36,41.65451339342688,206.83061374007661,189.27938027845204,140.23061799035563,0.22641509433962262,22.641509433962263,53,0.6792452830188679,0.0,2.8000000000000043,0.6981132075471698,0.11320754716981132,0.6388888888888888,0.6792452830188679,0.6666666666666666,1.2755929033159223,signal_momentum,Правило: momentum,1
5,RUB->AMD,signal_momentum,oot,243,36,74,0.2222222222222222,0.3045267489711934,0.3038888888888889,0.7297297297297297,0.7312614259597806,-13.43823283216703,36,70.09009653928076,36,134.06864454600048,338.4998373093606,333.96453789622416,322.68671908361796,0.15384615384615385,15.384615384615385,52,0.6923076923076923,0.0,2.0,0.6153846153846154,0.07692307692307693,0.5277777777777778,0.6923076923076923,0.5555555555555556,1.741346096811911,signal_momentum,Правило: momentum,5
5,RUB->KGS,signal_momentum,oot,243,49,70,0.24489795918367346,0.2880658436213992,0.2808163265306122,0.8501457725947521,0.872093023255814,-26.762975362297407,48,58.60379710262405,48,146.60306269598107,358.16211991074766,348.39072944106374,341.41606418889523,0.23076923076923075,23.076923076923077,52,0.9423076923076923,1.0,2.0,0.4807692307692308,0.09615384615384616,0.5714285714285714,0.9423076923076923,0.5918367346938775,1.7524180888015326,signal_momentum,Правило: momentum,5
5,RUB->KZT,signal_momentum,oot,243,27,80,0.2962962962962963,0.3292181069958848,0.32666666666666666,0.8999999999999999,0.9070294784580498,-16.169982365035278,27,79.67172005546917,27,142.3574624415539,515.6908914341907,503.76106245732853,457.57621606421316,0.15384615384615385,15.384615384615385,52,0.5192307692307693,0.0,2.0,0.7115384615384616,0.057692307692307696,0.5185185185185185,0.5192307692307693,0.5555555555555556,1.9422878655645817,signal_momentum,Правило: momentum,5
5,RUB->TJS,signal_momentum,oot,243,41,73,0.21951219512195122,0.3004115226337449,0.2936585365853659,0.7307049782826595,0.7475083056478404,-26.71142599718693,40,53.607154429296635,40,151.61930245653863,320.7102262950334,319.53702411556264,306.6840943765805,0.17307692307692307,17.307692307692307,52,0.7884615384615384,0.0,2.0,0.5576923076923077,0.09615384615384616,0.5365853658536586,0.7884615384615384,0.5609756097560976,1.7119373286024968,signal_momentum,Правило: momentum,5
5,RUB->UZS,signal_momentum,oot,243,36,83,0.25,0.34156378600823045,0.33388888888888885,0.7319277108433735,0.7487520798668886,-12.086287346554277,36,88.37180294453957,36,144.37353223061572,431.9934410508308,403.7678207731632,369.15597996629714,0.17307692307692307,17.307692307692307,52,0.6923076923076923,0.0,2.8999999999999986,0.6923076923076923,0.11538461538461539,0.6388888888888888,0.6923076923076923,0.6666666666666666,1.8160789558304051,signal_momentum,Правило: momentum,5
