method_id,method_label,method_type,feature_groups,training_horizon,horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,lar_variant,lar_eligible_count,lar_signal_count,lar_excluded_signal_count,lar_baseline_draws,lar_baseline_kind,lar_signal_hit_rate,lar_random_hit_rate,lar_lift,lar_signal_value_bps,lar_random_value_bps,lar_signal_tail_regret_bps,lar_random_tail_regret_bps,lar_delta_utility_bps,lar_rho,lar_scale_bps,lar_regret_confidence,lar_mean_gap_days,lar_lift_at_risk,fold_kind,train_end,validation_start,validation_end,test_start,test_end,threshold
random,Случайный день,random,,5,1,RUB->AMD,random,wf_2022,247,79,124,0.5189873417721519,0.5020242914979757,0.5020253164556963,1.0337893017558188,1.0337871911245586,31.196234960121792,79,8.668623359697392,79,81.98158215607943,827.2730734084677,597.680263016448,561.8273292191618,0.803921568627451,80.3921568627451,51,1.5490196078431373,1.0,3.0,0.1568627450980392,0.21568627450980393,0.4936708860759494,1.5490196078431373,0.35443037974683544,0.965699246163147,fixed,246,78,1,20,weekly_count_matched,0.5256410256410257,0.4788461538461538,1.0977242302543508,32.10551507562369,12.661073558487756,597.680263016448,563.5374169858037,-48.841250544152565,2.0,381.1494686708401,0.95,,0.965699246163147,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,1,RUB->KGS,random,wf_2022,247,82,123,0.5121951219512195,0.4979757085020243,0.5019512195121951,1.0285544318857824,1.0204081632653061,-23.45202607447964,82,-11.506254147511333,82,90.88382882111033,757.6407899626792,625.8402607273688,625.8402607273688,0.823529411764706,82.3529411764706,51,1.607843137254902,2.0,3.0,0.1568627450980392,0.17647058823529413,0.4878048780487805,1.607843137254902,0.3048780487804878,0.6243927630699783,fixed,246,82,0,20,weekly_count_matched,0.5121951219512195,0.5225609756097561,0.9801633605600933,-23.45202607447964,2.6021142739158565,625.8402607273688,552.9296261654624,-171.87540947220822,2.0,381.1494686708401,0.95,,0.6243927630699783,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,1,RUB->KZT,random,wf_2022,247,68,116,0.4852941176470588,0.46963562753036436,0.46,1.033341784989858,1.0549872122762147,-16.17387162308712,68,4.215855636550938,68,59.23070659990913,481.55418458278865,392.291295242686,358.4362414461277,0.6470588235294117,64.70588235294117,51,1.3333333333333333,1.0,3.0,0.23529411764705882,0.13725490196078433,0.4264705882352941,1.3333333333333333,0.23529411764705882,1.8004509356143399,fixed,246,68,0,20,weekly_count_matched,0.4852941176470588,0.438235294117647,1.1073825503355705,-16.17387162308712,-14.137931068030003,392.291295242686,485.93582545671916,185.25311987300924,2.0,381.1494686708401,0.95,,1.8004509356143399,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,1,RUB->TJS,random,wf_2022,247,76,131,0.5657894736842105,0.5303643724696356,0.5347368421052632,1.066793893129771,1.0580708661417322,16.873266696386537,76,14.287379013512,76,75.13499313927618,1256.9177165050726,690.923282298474,636.0082290922296,0.8431372549019608,84.31372549019608,51,1.4901960784313726,1.0,2.0,0.0784313725490196,0.058823529411764705,0.3684210526315789,1.4901960784313726,0.23684210526315788,1.3167670693495803,fixed,246,75,1,20,weekly_count_matched,0.5733333333333334,0.5406666666666666,1.0604192355117141,17.33844514611153,-2.7432757276448294,690.923282298474,722.144749992899,82.52465626260653,2.0,381.1494686708401,0.95,,1.3167670693495803,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,1,RUB->UZS,random,wf_2022,247,83,119,0.43373493975903615,0.4817813765182186,0.47759036144578304,0.9002733623569911,0.908173562058527,1.268148890210885,83,-0.7794974618497886,83,97.22440840795198,848.1230869016821,653.8464029000056,653.8464029000054,0.7058823529411765,70.58823529411765,51,1.6274509803921569,2.0,3.0,0.11764705882352941,0.21568627450980393,0.5301204819277109,1.6274509803921569,0.3373493975903614,0.4540794399431553,fixed,246,82,1,20,weekly_count_matched,0.43902439024390244,0.4810975609756098,0.9125475285171102,2.1524296342612135,5.865556587049867,653.8464029000056,522.6878983792151,-266.0301359943697,2.0,381.1494686708401,0.95,,0.4540794399431553,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,3,RUB->AMD,random,wf_2022,247,79,85,0.35443037974683544,0.3441295546558704,0.3463291139240507,1.029932985852569,1.0233918128654969,37.02555043263054,79,0.17925830391067682,79,220.1829885608759,1031.2079804571717,961.6370756490677,942.4647231153447,0.5490196078431372,54.90196078431372,51,1.5490196078431373,1.0,3.0,0.1568627450980392,0.21568627450980393,0.4936708860759494,1.5490196078431373,0.35443037974683544,1.0143635506342181,fixed,244,77,2,20,weekly_count_matched,0.36363636363636365,0.35779220779220783,1.0163339382940109,43.62614213979953,42.16230200060318,961.6370756490677,960.535325779911,-0.7396595991170827,2.0,381.1494686708401,0.95,,1.0143635506342181,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,3,RUB->KGS,random,wf_2022,247,82,84,0.35365853658536583,0.340080971659919,0.33951219512195124,1.039924506387921,1.0416666666666665,-33.04397690838107,82,-37.90478260209573,82,211.7721084191446,2040.819358369006,1227.325148077258,1227.325148077258,0.5686274509803921,56.86274509803921,51,1.607843137254902,2.0,3.0,0.1568627450980392,0.17647058823529413,0.4878048780487805,1.607843137254902,0.3048780487804878,0.2550295731184199,fixed,244,80,2,20,weekly_count_matched,0.3625,0.33437500000000003,1.0841121495327102,-29.782289952171972,12.144711432603813,1323.495370174831,1068.6710978798615,-551.5755459747146,2.0,381.1494686708401,0.95,,0.2550295731184199,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,3,RUB->KZT,random,wf_2022,247,68,75,0.29411764705882354,0.30364372469635625,0.29647058823529415,0.9686274509803923,0.992063492063492,-35.88783323847361,68,-4.9722692041169045,68,191.1382645486641,760.0167036638261,729.6004468266519,709.2480501214015,0.3921568627450981,39.21568627450981,51,1.3333333333333333,1.0,3.0,0.23529411764705882,0.13725490196078433,0.4264705882352941,1.3333333333333333,0.23529411764705882,1.581254538492542,fixed,244,68,0,20,weekly_count_matched,0.29411764705882354,0.2875,1.0230179028132993,-35.88783323847356,-38.90997752143622,729.6004468266519,811.0773451398563,165.97594090937145,2.0,381.1494686708401,0.95,,1.581254538492542,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,3,RUB->TJS,random,wf_2022,247,76,87,0.34210526315789475,0.3522267206477733,0.3468421052631579,0.971264367816092,0.9863429438543247,17.766907443813,76,26.573130553096565,76,194.78809458066812,2474.483097236917,1385.2815473413675,1226.9980852194667,0.5098039215686274,50.98039215686274,51,1.4901960784313726,1.0,2.0,0.0784313725490196,0.058823529411764705,0.3684210526315789,1.4901960784313726,0.23684210526315788,1.5701554061467218,fixed,244,74,2,20,weekly_count_matched,0.35135135135135137,0.31148648648648647,1.1279826464208245,20.680760918223235,-33.46249230918215,1385.2815473413675,1421.2413383944047,126.06283533347974,2.0,381.1494686708401,0.95,,1.5701554061467218,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
random,Случайный день,random,,5,3,RUB->UZS,random,wf_2022,247,83,79,0.27710843373493976,0.31983805668016196,0.31662650602409637,0.8664023181332926,0.8751902587519027,-27.018561293399245,83,-22.94708815481661,83,260.43053775898403,1392.7703031285455,1105.493961660674,1105.493961660674,0.45098039215686275,45.09803921568628,51,1.6274509803921569,2.0,3.0,0.11764705882352941,0.21568627450980393,0.5301204819277109,1.6274509803921569,0.3373493975903614,0.5415495321160534,fixed,244,81,2,20,weekly_count_matched,0.2839506172839506,0.33765432098765424,0.8409506398537478,-21.652641685805904,16.710824816962425,1105.493961660674,1040.8040532029622,-167.7432834181917,2.0,381.1494686708401,0.95,,0.5415495321160534,y2022,2021-01-01,2021-01-01,2022-01-01,2022-01-01,2023-01-01,
