experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar
catboost_a,AMD,oot,5.0,1,,0.5344129554655871,247,132,2.490566037735849,0,0,0,0,0,1.0,0.0,53,2025-09-02,2026-09-02,True,,,,,
catboost_a,AMD,wf_2022,5.0,1,,0.5020242914979757,247,124,2.4313725490196076,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,
catboost_a,AMD,wf_2023,5.0,1,0.2857142857142857,0.5708502024291497,247,141,2.764705882352941,7,7,0,7,0,0.8627450980392157,0.0,51,2023-01-10,2023-12-30,True,23.863947167757527,0.3957142857142857,3.3149331712253196,183.25814088981585,56.08946460302696
catboost_a,AMD,wf_2024,5.0,1,0.532258064516129,0.5604838709677419,248,139,2.7254901960784315,62,62,0,62,0,0.5882352941176471,0.23529411764705882,51,2024-01-10,2024-12-29,True,206.09331956294727,0.4808870967741936,-8.00902886024076,215.4677708880829,-4.180116760037598
catboost_a,AMD,wf_2025,5.0,1,0.45454545454545453,0.453416149068323,161,73,2.1470588235294117,22,22,0,22,0,0.5882352941176471,0.058823529411764705,34,2025-01-10,2025-08-30,True,110.92324792058639,0.5147727272727272,-3.0051214651187625,180.8379173282843,-6.39494307205431
catboost_a,KGS,oot,5.0,1,,0.47368421052631576,247,117,2.207547169811321,0,0,0,0,0,1.0,0.0,53,2025-09-02,2026-09-02,True,,,,,
catboost_a,KGS,wf_2022,5.0,1,,0.4979757085020243,247,123,2.411764705882353,0,0,0,0,0,1.0,0.0,51,2022-01-11,2022-12-31,True,,,,,
catboost_a,KGS,wf_2023,5.0,1,0.5,0.5668016194331984,247,140,2.7450980392156863,6,6,0,6,0,0.8823529411764706,0.0,51,2023-01-10,2023-12-30,True,23.71590449461758,0.4358333333333333,0.6577928165588872,117.83109155495873,22.69187421824174
catboost_a,KGS,wf_2024,5.0,1,0.5066666666666667,0.5645161290322581,248,140,2.7450980392156863,75,75,0,75,0,0.49019607843137253,0.2549019607843137,51,2024-01-10,2024-12-29,True,194.70526921538323,0.45966666666666667,-8.244671707171305,204.59873047469088,-5.911123157320917
catboost_a,KGS,wf_2025,5.0,1,0.3181818181818182,0.422360248447205,161,68,2.0,22,22,0,22,0,0.5294117647058824,0.029411764705882353,34,2025-01-10,2025-08-30,True,84.32287312670982,0.4420454545454545,-8.172607339198619,173.00153685341854,-10.615501644432692
