experiment,training_horizon,evaluation_horizon,currency,fold,lift,moment_advantage_bps,customer_regret_cvar_95_bps,signals_per_week,lift_at_risk,cluster_rate
catboost_a,5.0,1,AMD,oot,,,,0.0,,
catboost_a,5.0,1,AMD,wf_2022,,,,0.0,,
catboost_a,5.0,1,AMD,wf_2023,0.5005065856129686,-15.167056208529791,65.76435726362018,0.13725490196078433,1.5361584300798772,0.0
catboost_a,5.0,1,AMD,wf_2024,0.9496402877697843,2.4741606720231206,230.35520654366147,1.2156862745098038,1.0339878379177645,0.7741935483870968
catboost_a,5.0,1,AMD,wf_2025,1.0024906600249066,-14.732344443095132,146.61782660201905,0.6470588235294118,1.0473271212008968,0.45454545454545453
catboost_a,5.0,1,KGS,oot,,,,0.0,,
catboost_a,5.0,1,KGS,wf_2022,,,,0.0,,
catboost_a,5.0,1,KGS,wf_2023,0.8821428571428571,-17.007886808031817,70.0895051036432,0.11764705882352941,1.5615383716608744,0.0
catboost_a,5.0,1,KGS,wf_2024,0.8975238095238095,2.0440543006862817,215.4014703660645,1.4705882352941178,1.047900957697615,0.76
catboost_a,5.0,1,KGS,wf_2025,0.7533422459893048,-20.9031258421466,133.43387694028542,0.6470588235294118,0.8802263203772787,0.2727272727272727
catboost_a,5.0,1,KZT,oot,,,,0.0,,
catboost_a,5.0,1,KZT,wf_2022,,,,0.0,,
catboost_a,5.0,1,KZT,wf_2023,1.1932367149758452,-17.672766518240174,98.05357124180291,0.17647058823529413,1.5869275812169517,0.0
catboost_a,5.0,1,KZT,wf_2024,0.8851692307692308,5.318612673781454,230.46346712977117,1.2745098039215685,1.25900427436432,0.7692307692307693
catboost_a,5.0,1,KZT,wf_2025,0.8846153846153847,-24.083749471212833,138.13448746221036,0.7647058823529411,1.1577278803502042,0.38461538461538464
catboost_a,5.0,1,TJS,oot,,,,0.0,,
catboost_a,5.0,1,TJS,wf_2022,1.8854961832061068,-18.325527238791445,0.0,0.09803921568627451,86.46508863120762,0.0
catboost_a,5.0,1,TJS,wf_2023,0.5839243498817968,-16.32771780169332,70.52955954605756,0.11764705882352941,1.0797720529383494,0.0
catboost_a,5.0,1,TJS,wf_2024,0.9946524064171123,1.1409122130677891,212.760293915773,1.2941176470588236,1.2078326863641806,0.7575757575757576
catboost_a,5.0,1,TJS,wf_2025,1.0648148148148149,-13.501050729523055,161.87361402950074,0.7941176470588235,1.1247943921383456,0.5185185185185185
catboost_a,5.0,1,UZS,oot,,,,0.0,,
catboost_a,5.0,1,UZS,wf_2022,,,,0.0,,
catboost_a,5.0,1,UZS,wf_2023,0.5077081192189106,-18.079911157158346,79.12334332897953,0.13725490196078433,0.9002448521684968,0.0
catboost_a,5.0,1,UZS,wf_2024,0.8225538971807629,-1.3710062159368424,251.9734853255129,1.2352941176470589,0.9879411397994636,0.8095238095238095
catboost_a,5.0,1,UZS,wf_2025,0.8131313131313131,-20.55032899706362,133.0214785509476,0.6470588235294118,1.0670747750295158,0.2727272727272727
catboost_ab,5.0,1,AMD,oot,1.2954545454545454,-10.769369051721364,63.45404674829025,0.24528301886792453,1.031804130197387,0.46153846153846156
catboost_ab,5.0,1,AMD,wf_2022,0.8714717741935485,12.44662265133374,522.8092795737771,0.6274509803921569,0.9674665965271386,0.65625
catboost_ab,5.0,1,AMD,wf_2023,0.8487972508591066,8.147021802068226,230.48968929050505,1.9019607843137254,1.166067879350301,0.8247422680412371
catboost_ab,5.0,1,AMD,wf_2024,1.0258992805755396,-1.231902205552526,310.60331559781605,0.7843137254901961,0.7511428828842157,0.725
catboost_ab,5.0,1,AMD,wf_2025,,,,0.0,,
catboost_ab,5.0,1,KGS,oot,1.1367521367521367,-23.15091206297257,259.40333068450894,0.24528301886792453,0.6637809981566803,0.5384615384615384
catboost_ab,5.0,1,KGS,wf_2022,0.973638827297364,17.275904728032653,472.5213703678366,0.6470588235294118,1.0313015964561083,0.5454545454545454
catboost_ab,5.0,1,KGS,wf_2023,0.8821428571428571,7.688594952886356,173.15484090417942,2.0,1.1928104475205403,0.7843137254901961
catboost_ab,5.0,1,KGS,wf_2024,0.8051948051948051,2.040184991618933,238.657305373986,1.0784313725490196,0.8515281410532527,0.7454545454545455
catboost_ab,5.0,1,KGS,wf_2025,,,,0.0,,
catboost_ab,5.0,1,KZT,oot,0.869718309859155,-21.27765546764722,179.27143080132657,0.5660377358490566,0.9767019543822579,0.6
catboost_ab,5.0,1,KZT,wf_2022,0.896551724137931,20.66588604560645,368.54618969322405,0.7450980392156863,2.3369546343396648,0.6578947368421053
catboost_ab,5.0,1,KZT,wf_2023,0.9475703324808183,8.405524850461578,225.88370554653272,2.0,1.281044865104029,0.803921568627451
catboost_ab,5.0,1,KZT,wf_2024,0.7630769230769231,8.966496298641237,167.81847906671476,0.7647058823529411,1.4361316511123623,0.717948717948718
catboost_ab,5.0,1,KZT,wf_2025,,,,0.0,,
catboost_ab,5.0,1,TJS,oot,1.52,-16.889510885193353,227.36607122663008,0.5094339622641509,0.5131165396035834,0.6296296296296297
catboost_ab,5.0,1,TJS,wf_2022,1.063613231552163,17.351287776141845,919.3616803912853,0.7647058823529411,2.2400323191064837,0.5641025641025641
catboost_ab,5.0,1,TJS,wf_2023,0.855517070757051,8.80126887814103,170.06479688358445,1.6862745098039216,1.3480000809153985,0.7790697674418605
catboost_ab,5.0,1,TJS,wf_2024,0.8871224165341813,-0.19542458843769311,290.7894090877816,0.7254901960784313,0.626073013444861,0.7027027027027027
catboost_ab,5.0,1,TJS,wf_2025,,,,0.0,,
catboost_ab,5.0,1,UZS,oot,0.9837622549019608,-23.450322105051885,197.78414564744608,0.4528301886792453,0.8598181780611743,0.5
catboost_ab,5.0,1,UZS,wf_2022,0.9285714285714286,22.64465486530947,747.539146519951,0.7450980392156863,1.130257244829225,0.6052631578947368
catboost_ab,5.0,1,UZS,wf_2023,0.85431654676259,7.516945853970999,172.9604916720651,2.0392156862745097,1.2546599290329625,0.8365384615384616
