experiment,training_horizon,evaluation_horizon,currency,fold,lift,moment_advantage_bps,customer_regret_cvar_95_bps,signals_per_week,lift_at_risk,cluster_rate
catboost_a,5.0,1,AMD,wf_oos,0.9189677178345734,-3.0426704345315163,218.8275466158469,0.6594202898550725,1.108240669017395,0.6373626373626373
catboost_a,5.0,1,KGS,wf_oos,0.8784733846668898,-3.967106959455776,192.53753844127493,0.7463768115942029,1.1034821261894496,0.6116504854368932
catboost_a,5.0,1,KZT,wf_oos,0.8864864864864866,-4.395225611199006,216.7954362914295,0.7246376811594203,1.3009425703244566,0.6
catboost_a,5.0,1,TJS,wf_oos,0.9728308010856488,-3.9110552570182655,212.9039380115536,0.717391304347826,1.2141524185296821,0.6464646464646465
catboost_a,5.0,1,UZS,wf_oos,0.7853812224322622,-7.2286957352122725,235.3683169611398,0.6666666666666666,1.0395298845977068,0.6195652173913043
catboost_ab,5.0,1,AMD,wf_oos,0.9495254440561611,5.408649829040268,253.37929680687964,0.9927536231884058,1.0403557866782,0.7956204379562044
catboost_ab,5.0,1,KGS,wf_oos,0.9125118969177831,5.709852609767195,203.08404334272333,1.1376811594202898,1.0697884632631722,0.7707006369426752
catboost_ab,5.0,1,KZT,wf_oos,0.964027857644879,8.560687165915526,213.19336919887297,1.0217391304347827,1.3199393249433926,0.7801418439716312
catboost_ab,5.0,1,TJS,wf_oos,0.8864265927977839,6.094946453235235,208.38563103623196,0.8913043478260869,1.0694839935289318,0.7560975609756098
catboost_ab,5.0,1,UZS,wf_oos,0.85699122269851,4.435788902967291,224.04395897722918,1.0289855072463767,1.1264156630180968,0.8098591549295775
catboost_abc,5.0,1,AMD,wf_oos,0.8849318764332929,0.9409206649835256,145.1925781091623,0.15217391304347827,0.9992317552973669,0.5714285714285714
catboost_abc,5.0,1,KGS,wf_oos,0.997971602434077,7.187556994353322,179.526825494033,0.2463768115942029,0.8924932284610173,0.6764705882352942
catboost_abc,5.0,1,KZT,wf_oos,1.1491491491491492,6.681521448643387,152.22348916761553,0.08695652173913043,0.8212395979829071,0.6666666666666666
catboost_abc,5.0,1,TJS,wf_oos,1.0520484035573698,-3.0271607661148723,149.67379410573133,0.13768115942028986,1.0384635238638746,0.5789473684210527
catboost_abc,5.0,1,UZS,wf_oos,0.9859366612989802,-0.0016869231676974164,127.38816217009452,0.1956521739130435,1.1777925877615527,0.6666666666666666
catboost_abcd,5.0,1,AMD,wf_oos,0.9897770661411505,-1.953008156692528,181.17113356885994,0.6666666666666666,1.1989364163591123,0.75
catboost_abcd,5.0,1,KGS,wf_oos,1.011978221415608,-1.0748306599212063,171.11574610575,0.6884057971014492,0.9895835061337819,0.6210526315789474
